id,an,judet,scoala,mediu,gen,nota_romana_oral,nota_romana_scris,nota_matematica,nota_limba_straina,nota_specialitate,medie_generala,promovat,absent,promotie
1,2019,Bucuresti,Liceul Tehnologic Spiru Haret,Urban,M,8.3,9.57,7.88,9.79,7.97,8.73,1,0,2019
2,2019,Teleorman,Colegiul Tehnic Alexandru Ioan Cuza,Urban,F,6.95,2.66,6.71,3.95,3.9,4.68,0,1,2019
3,2019,Teleorman,Colegiul National Onisifor Ghibu,Urban,F,6.18,7.57,4.29,4.8,9.64,6.34,0,0,2019
4,2019,Ialomita,Liceul Teoretic George Cosbuc,Urban,F,7.28,7.76,5.42,6.96,7.2,6.81,1,0,2019
5,2019,Iasi,Liceul Sportiv Traian,Rural,M,10.0,6.37,5.0,8.06,8.28,6.86,1,0,2019
6,2019,Maramures,Liceul de Arte Unirea,Urban,F,7.84,8.79,7.12,5.0,7.62,7.45,1,0,2019
7,2019,Bihor,Liceul Teoretic Grigore Moisil,Urban,F,7.06,6.74,7.48,8.95,8.68,7.62,1,0,2019
8,2019,Botosani,Liceul Tehnologic Marin Preda,Urban,F,7.71,8.71,7.15,8.58,9.44,8.23,1,0,2019
9,2019,Giurgiu,Liceul Tehnologic Traian,Rural,M,9.56,6.33,9.04,3.63,8.04,7.32,0,0,2019
10,2019,Giurgiu,Liceul de Arte Ion Barbu,Rural,M,4.9,6.58,1.23,6.08,7.11,4.81,0,0,2019
11,2019,Hunedoara,Liceul de Arte Stefan cel Mare,Urban,F,7.16,7.97,6.67,8.85,7.59,7.57,1,0,2019
12,2019,Mehedinti,Liceul Tehnologic Alexandru Ioan Cuza,Rural,M,6.58,5.62,2.38,7.06,6.92,5.16,0,0,2019
13,2019,Vaslui,Liceul Tehnologic Ion Luca Caragiale,Urban,M,7.61,6.96,7.23,10.0,7.38,7.63,1,0,2019
14,2019,Bacau,Colegiul Economic Decebal,Rural,F,10.0,6.91,7.04,7.35,6.52,7.27,1,0,2019
15,2019,Maramures,Scoala Nationala Grigore Moisil,Urban,F,9.2,8.35,7.86,5.65,9.53,8.06,1,0,2019
16,2019,Brasov,Liceul de Arte Vasile Alecsandri,Rural,M,7.92,7.57,10.0,7.5,5.4,8.0,1,0,2019
17,2019,Calarasi,Liceul Pedagogic Ion Luca Caragiale,Urban,M,8.26,5.35,9.45,5.87,6.42,7.11,1,0,2019
18,2019,Botosani,Colegiul Tehnic Ioan Slavici,Rural,F,8.4,7.59,7.91,8.98,5.0,7.59,1,0,2019
19,2019,Calarasi,Colegiul National Decebal,Urban,M,8.33,7.64,6.73,10.0,7.86,7.82,1,0,2019
20,2019,Arad,Liceul Pedagogic Alexandru Ioan Cuza,Urban,F,6.82,8.65,7.24,8.63,10.0,8.24,1,0,2019
21,2019,Tulcea,Liceul Teoretic Onisifor Ghibu,Rural,F,6.71,4.89,3.64,4.01,6.25,4.77,0,0,2019
22,2019,Timis,Colegiul Tehnic Regina Maria,Urban,F,10.0,8.49,6.23,9.67,7.87,8.05,1,0,2019
23,2019,Constanta,Liceul de Arte Constantin Brancusi,Rural,F,6.74,7.83,6.64,6.36,4.71,6.68,0,0,2019
24,2019,Dolj,Colegiul Tehnic Unirea,Urban,F,8.01,7.78,8.0,7.63,7.19,7.76,1,0,2019
25,2019,Bihor,Colegiul National Grigore Moisil,Rural,F,6.15,7.12,7.43,8.56,8.51,7.54,1,0,2019
